name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
DT78,Motor Yachts,8,4,3,"1 Master, 2 VIP, 1 Twin",23.64m / 77'7,Azimut Azimut,2020,25 Knots,5.75m / 18'10,1.77m / 5'10,58 GT,Fly 78 Fly 78,Alberto Mancini,Achille Salvagni Architetti,"$49,000 p/week + expenses","$59,000 p/week + expenses","Caribbean, Bahamas",,"$49,000 p/week + expenses","$59,000 p/week + expenses","Caribbean, Bahamas",,The 23.78m/78' motor yacht 'DT78' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Achille Salvagni Architetti.,
ESSOESS,Motor Yachts,8,4,4,"1 Master, 1 Double, 2 Twin",23.85m / 78'3,Spertini Alalunga Spertini Alalunga,2007 | 2022 (Refitted),20 Knots,5.9m / 19'4,1.6m / 5'3,57 GT,Alalunga 78 Alalunga 78,,,"€29,500 p/week + expenses Approx $33,500","€33,000 p/week + expenses Approx $37,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ibiza, Sardinia, St Tropez, The Balearics","€29,500 p/week + expenses Approx $33,500","€33,000 p/week + expenses Approx $37,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ibiza, Mallorca, Sardinia, St Tropez, The Balearics","The 23.84m/78'3"" 'Essoess' motor yacht built by shipyard Spertini Alalunga is available for charter for up to 8 guests in 4 cabins.",
FAMILY TIES,Motor Yachts,8,4,3,"1 Master, 2 VIP, 1 Twin",23.64m / 77'7,Azimut Azimut,2020,25 Knots,5.75m / 18'10,1.77m / 5'10,58 GT,Fly 78 Fly 78,Alberto Mancini,Achille Salvagni Architetti,"$50,000 p/week + expenses","$60,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"$50,000 p/week + expenses","$60,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,The 23.78m/78' motor yacht 'Family Ties' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Achille Salvagni Architetti.,
FITLINE,Motor Yachts,8,4,2,"1 Master, 1 VIP, 2 Twin",23.75m / 77'11,Sanlorenzo Sanlorenzo,2024,16 Knots,6.6m / 21'8,1.65m / 5'5,79 GT,SX76 SX76,Officina Italiana Design,Marty Lowe,"€50,000 p/week + expenses Approx $57,000","€55,000 p/week + expenses Approx $62,500","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",,,,,"The 23.75m/77'11"" motor yacht 'Fitline' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by American designer Marty Lowe she can comfortably accommodate up to 8 guests in 4 cabins.",
FREEDOM,Motor Yachts,10,4,4,"1 Master, 1 Double, 2 Twin, 2 Pullman",23.85m / 78'3,Cnsa - Alalunga Cnsa - Alalunga,2007 | 2021 (Refitted),23 Knots,5.8m / 19',2.5m / 8'2,54 GT,Custom,,Carlo Galeazzi,"€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",Mykonos,"€30,000 p/week + expenses Approx $34,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Greece",Mykonos,"The 23.87m/78'4"" motor yacht 'Freedom' by shipyard Cnsa - Alalunga offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Italian designer Carlo Galeazzi.",
GET LOST,Motor Yachts,9,4,2,"2 Double, 2 Twin, 1 Pullman",23.86m / 78'3,Pardo Yachts Pardo Yachts,2025,23 Knots,5.99m / 19'8,1.65m / 5'5,,GT75 GT75,,,"€46,000 p/week + expenses Approx $52,500","€46,000 p/week + expenses Approx $52,500","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera, Sardinia",,,,,"The 23.86m/78'3"" motor yacht 'Get Lost' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Pardo Yachts  she can comfortably accommodate up to 9 guests in 4 cabins.",
GITANA II,Motor Yachts,8,4,2,"1 Master, 1 VIP, 2 Twin",23.83m / 78'2,Princess Princess,2009 | 2023 (Refitted),22 Knots,5.56m / 18'3,1.65m / 5'5,68 GT,Princess V78 Princess V78,Princess,Princess,"€19,900 p/week + expenses Approx $23,000","€24,900 p/week + expenses Approx $29,000","Mediterranean, Croatia,, Montenegro",,,,,,"The 23.83m/78'2"" 'Gitana II' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Princess.",
GUARFIRO,Motor Yachts,8,4,2,"1 Master, 1 Double, 2 Twin",23.8m / 78'1,Uniesse Marine Uniesse Marine,2007 | 2022 (Refitted),28 Knots,5.7m / 18'8,1.72m / 5'8,,75HT 75HT,,,"€24,000 p/week + expenses Approx $28,000","€29,000 p/week + expenses Approx $34,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€24,000 p/week + expenses Approx $28,000","€24,000 p/week + expenses Approx $28,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 23.8m/78'1"" motor yacht 'Guarfiro' by shipyard Uniesse Marine offers flexible accommodation for up to 8 guests in 4 cabins.",
IMAGINE,Motor Yachts,8,4,3,"1 Master, 2 VIP, 1 Twin",23.65m / 77'7,Azimut Azimut,2021,22 Knots,5.75m / 18'10,1.77m / 5'10,58 GT,Fly 78 Fly 78,Alberto Mancini,Achille Salvagni Architetti,"€48,000 p/week + expenses Approx $56,000","€52,000 p/week + expenses Approx $61,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez","€48,000 p/week + expenses Approx $56,000","€52,000 p/week + expenses Approx $61,000",,,The 23.78m/78' 'Imagine' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Achille Salvagni Architetti.,
KORA,Motor Yachts,10,5,4,"1 Master, 2 VIP, 1 Double, 1 Twin",25.18m / 82'7,Princess Princess,2023,13 Knots,6.06m / 19'11,1.78m / 5'10,99 GT,X80 X80,Olesinski Design,Pininfarina,"€70,000 p/week + expenses Approx $80,000","€75,000 p/week + expenses Approx $85,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€70,000 p/week + expenses Approx $80,000","€75,000 p/week + expenses Approx $85,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","The 25.18m/82'7"" motor yacht 'Kora' is an excellent new superyacht for the luxury charter market. Delivered by the British shipyard Princess  and featuring interior styling by Italian designer Pininfarina she can comfortably accommodate up to 10 guests in 5 cabins.",
LA CHICCA,Motor Yachts,8,4,3,"1 Master, 1 VIP, 1 Double, 1 Twin",23.67m / 77'8,Benetti Benetti,1998,12 Knots,5.4m / 17'9,1.5m / 4'11,45 GT,Custom,,,"€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 23.68m/77'8"" 'La Chicca' motor yacht built by the Italian shipyard Benetti is available for charter for up to 8 guests in 4 cabins.",
LA MAR,Motor Yachts,6,3,2,"1 Master, 2 Double/Twin",23.78m / 78',Lazzara Yachts Lazzara Yachts,2011,20 Knots,5.54m / 18'2,1.04m / 3'5,88 GT,Lazarra LSX 78 Lazarra LSX 78,Lazzara Yachts,Lazzara Yachts,"$62,300 p/week + expenses","$62,300 p/week + expenses",,Whitsundays,"$62,300 p/week + expenses","$62,300 p/week + expenses",,Whitsundays,The 23.78m/78' motor yacht 'La Mar' by shipyard Lazzara Yachts offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Lazzara Yachts.,
MAJESTIC ONE,Motor Yachts,8,4,2,,23.78m / 78',Monte Fino Monte Fino,1998 | 2007 (Refitted),12 Knots,5.8m / 19',1.68m / 5'6,,Custom,,,"€21,000 p/week + expenses Approx $24,000","€24,000 p/week + expenses Approx $27,500",,Ibiza,,,,,The 23.78m/78' motor yacht 'Majestic One' by shipyard Monte Fino offers flexible accommodation for up to 8 guests in 4 cabins.,
MARCELLO,Motor Yachts,8,4,4,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Pullman",23.9m / 78'5,Arcadia Arcadia,2015 | 2022 (Refitted),12 Knots,6.15m / 20'2,1.65m / 5'5,109 GT,A85 A85,Francesco Guida,Francesco Guida,"€52,500 p/week + expenses Approx $60,000","€58,500 p/week + expenses Approx $67,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€39,000 p/week + expenses Approx $44,500","€39,000 p/week + expenses Approx $44,500",,,The 25.91m/85' motor yacht 'Marcello' by the Italian shipyard Arcadia offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Francesco Guida.,
MARVELOUS,Motor Yachts,8,4,,"1 Master, 2 Double, 1 Twin",23.8m / 78'1,Cheoy Lee Cheoy Lee,1999,20 Knots,6.1m / 20',1.4m / 4'7,,Custom,,,"$28,000 p/week + expenses","$25,000 p/week + expenses",,New England,"$28,000 p/week + expenses","$25,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 23.8m/78'1"" 'Marvelous' motor yacht built by the Chinese shipyard Cheoy Lee is available for charter for up to 8 guests in 4 cabins.",
MR WHITE,Motor Yachts,8,4,3,"1 Master, 2 Double, 1 Twin",23.9m / 78'5,Benetti Sail Divisio Benetti Sail Divisio,2006,10 Knots,6.2m / 20'4,2.1m / 6'11,,Custom,Riccardo Paoli,Riccardo Paoli,"€25,000 p/week + expenses Approx $28,500","€30,000 p/week + expenses Approx $34,000",,,,,,,"The 23.9m/78'5"" 'Mr White' motor yacht built by shipyard Benetti Sail Division is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Riccardo Paoli.",
NENA,Motor Yachts,8,4,2,"1 Master, 1 VIP, 1 Double, 1 Twin",23.78m / 78',Azimut Azimut,2022,26 Knots,5.75m / 18'10,1.19m / 3'11,,Fly 78 Fly 78,,,"$65,000 p/week + expenses","$65,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"$65,000 p/week + expenses","$65,000 p/week + expenses",,,The 23.78m/78' 'Nena' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins.,
NIRVANA,Motor Yachts,8,4,4,,23.75m / 77'11,Sanlorenzo Sanlorenzo,2021,16 Knots,6.6m / 21'8,1.65m / 5'5,,SX76 SX76,Officina Italiana Design,,"€55,000 p/week + expenses Approx $62,500","€65,000 p/week + expenses Approx $74,000","Mediterranean, Greece",Mykonos,"€47,000 p/week + expenses Approx $53,500","€47,000 p/week + expenses Approx $53,500","Mediterranean, Greece",Mykonos,"The 23.75m/77'11"" motor yacht 'Nirvana' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 8 guests in 4 cabins.",
OMNIA,Motor Yachts,6,4,3,"1 Master, 1 VIP, 2 Double/Twin",23.9m / 78'5,Pearl Yachts Pearl Yachts,2018 | 2025 (Refitted),12 Knots,5.97m / 19'7,1.62m / 5'4,84 GT,Pearl 80 Pearl 80,Pearl Yachts,Kelly Hoppen Interiors,"€44,000 p/week + expenses Approx $51,000","€49,000 p/week + expenses Approx $57,000","Mediterranean, France,, Italy,, Monaco","Calvi, Corsica, French Riviera, Sardinia","$45,000 p/week + expenses","$50,000 p/week + expenses","Caribbean, Bahamas",,"The 23.93m/78'6"" motor yacht 'Omnia' by the British shipyard Pearl Yachts offers flexible accommodation for up to 6 guests in 4 cabins and features interior styling by British designer Kelly Hoppen Interiors.",
OMR GROUP,Motor Yachts,8,4,3,"1 Master, 2 VIP, 1 Twin",23.64m / 77'7,Azimut Azimut,2021,26 Knots,5.75m / 18'10,1.77m / 5'10,58 GT,Fly 78 Fly 78,Alberto Mancini,Achille Salvagni Architetti,"€48,600 p/week + expenses Approx $57,000","€53,000 p/week + expenses Approx $62,000","Mediterranean, Croatia,, Montenegro",,"€45,950 p/week + expenses Approx $54,000","€45,950 p/week + expenses Approx $54,000","Mediterranean, Croatia,, Montenegro",,The 23.78m/78' motor yacht 'OMR Group' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Achille Salvagni Architetti.,
OWN THE NIGHT,Motor Yachts,8,4,2,"1 Master, 2 Double, 1 Twin",23.83m / 78'2,Azimut Azimut,2012,23 Knots,5.59m / 18'4,1.88m / 6'2,55 GT,Azimut 78 Azimut 78,Stefano Righini,,"$52,000 p/week + expenses","$50,000 p/week + expenses",,,"$52,000 p/week + expenses","$50,000 p/week + expenses",,,"The 23.83m/78'2"" 'Own the Night' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins.",
PREWI,Motor Yachts,8,4,3,"1 Master, 3 Double",22.33m / 73'3,Azimut Azimut,2022,21 Knots,5.75m / 18'10,1.2m / 3'11,92 GT,Fly 78 Fly 78,Alberto Mancini,Achille Salvagni Architetti,"€39,950 p/week + expenses Approx $46,500","€52,950 p/week + expenses Approx $61,500","Mediterranean, Croatia,, Montenegro",,"€39,950 p/week + expenses Approx $46,500","€52,950 p/week + expenses Approx $61,500","Mediterranean, Croatia,, Montenegro",,"The 23.64m/77'7"" 'Prewi' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Achille Salvagni Architetti.",
QUARANTENA,Motor Yachts,8,4,4,"1 Master, 1 VIP, 2 Double/Twin",23.75m / 77'11,Sanlorenzo Sanlorenzo,2019,16 Knots,6.6m / 21'8,1.65m / 5'5,115 GT,SX76 SX76,Officina Italiana Design,Marty Lowe,"$70,000 p/week + expenses","$91,000 p/week + expenses","Caribbean, Bahamas",,"$70,000 p/week + expenses","$91,000 p/week + expenses","Caribbean, Bahamas",,"The 23.75m/77'11"" motor yacht 'Quarantena' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by American designer Marty Lowe.",
SALTY,Motor Yachts,10,4,4,"1 Master, 1 VIP, 1 Double, 1 Twin",23.85m / 78'3,Spertini Alalunga Spertini Alalunga,2006 | 2024 (Refitted),21 Knots,5.8m / 19',2.53m / 8'4,95 GT,Alalunga 78 Alalunga 78,,,"€30,000 p/week + expenses Approx $34,000","€34,000 p/week + expenses Approx $39,000","Mediterranean, Greece",Mykonos,"€30,000 p/week + expenses Approx $34,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Greece",Mykonos,"The 23.85m/78'3"" motor yacht 'Salty' by shipyard Spertini Alalunga offers flexible accommodation for up to 10 guests in 4 cabins.",
SEXY,Motor Yachts,8,4,2,"1 Master, 1 Double, 2 Twin",23.7m / 77'9,Lazzara Yachts Lazzara Yachts,2010,22 Knots,5.5m / 18'1,3m / 9'10,92 GT,Lazarra LSX 78 Lazarra LSX 78,Lazzara Yachts,Lazzara Yachts,"$35,000 p/week + expenses","$46,000 p/week + expenses",,,"$46,000 p/week + expenses","$46,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 23.8m/78'1"" motor yacht 'Sexy' by shipyard Lazzara Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Lazzara Yachts.",
SPIRIT OF THE SEA,Motor Yachts,,,2,"1 Master, 1 VIP, 2 Twin",23.9m / 78'5,Sunseeker Sunseeker,2011 | 2017 (Refitted),28 Knots,6.09m / 20',1.95m / 6'5,80 GT,80 Yacht 80 Yacht,Sunseeker,Sunseeker,"€37,000 p/week + expenses Approx $43,500","€42,000 p/week + expenses Approx $49,500","Mediterranean, Croatia",,"€37,000 p/week + expenses Approx $43,500",POA,"Mediterranean, Croatia",,"The 23.9m/78'5"" 'Spirit Of The Sea' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker.",
STALCA,Motor Yachts,6,3,3,"1 Master, 1 VIP, 1 Twin",23.75m / 77'11,Visch Visch,1971 | 2023 (Refitted),8 Knots,5.9m / 19'4,1.6m / 5'3,67 GT,Custom Custom,York Bros,Winch Design,"€25,000 p/week + expenses Approx $29,500","€30,000 p/week + expenses Approx $35,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€25,000 p/week + expenses Approx $29,500","€25,000 p/week + expenses Approx $29,500","Mediterranean, Greece",Mykonos,"The 24.6m/80'9"" classic yacht 'Stalca' by shipyard Visch offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by British designer Winch Design.",
STRESS NEGATIVE,Motor Yachts,10,4,4,"1 Master, 1 Double, 2 Double/Twin, 2 Pullman",23.9m / 78'5,Posillipo Posillipo,2001 | 2021 (Refitted),24 Knots,6.4m / 21',2.2m / 7'3,112 GT,Custom,,,"€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Greece",Mykonos,"€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Greece",Mykonos,"The 23.9m/78'5"" 'Stress Negative' motor yacht built by shipyard Posillipo is available for charter for up to 10 guests in 4 cabins.",
TIUNA,Motor Yachts,7,3,3,,23.72m / 77'10,Alfamarine Alfamarine,2004 | 2023 (Refitted),30 Knots,5.9m / 19'4,3.1m / 10'2,,Custom,,,"€35,400 p/week + expenses Approx $40,500","€41,400 p/week + expenses Approx $47,000","Mediterranean, France,, Monaco","Corsica, French Riviera, Sardinia",,,,,"The 23.72m/77'10"" motor yacht 'Tiuna' by shipyard Alfamarine offers flexible accommodation for up to 7 guests in 3 cabins.",
TURN ON,Motor Yachts,8,4,3,"1 Master, 1 Double, 1 Twin, 1 Single, 1 Pullman",23.79m / 78'1,Mangusta Mangusta,2001 | 2019 (Refitted),34 Knots,5.9m / 19'4,1.58m / 5'2,96 GT,Mangusta 80 Open Mangusta 80 Open,Andrea Bacigalupo,Mangusta,"€22,000 p/week + expenses Approx $25,500","€25,000 p/week + expenses Approx $29,000","Mediterranean, Greece,, Turkey",Mykonos,"€22,000 p/week + expenses Approx $25,500","€22,000 p/week + expenses Approx $25,500",,,The 24.38m/80' 'Turn On' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.,
TWE11VE,Motor Yachts,8,4,2,"1 Master, 2 Double, 1 Twin",23.8m / 78'1,Ferretti Yachts Ferretti Yachts,2009 | 2022 (Refitted),23 Knots,5.94m / 19'6,1.85m / 6'1,,Ferretti 780 Ferretti 780,,,"$38,000 p/week + expenses","$39,000 p/week + expenses","Caribbean, Bahamas",,"$38,000 p/week + expenses","$39,000 p/week + expenses","Caribbean, Bahamas",,"The 23.8m/78'1"" 'Twe11ve' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins.",
VA BENE,Motor Yachts,10,4,4,"2 Double, 2 Twin",23.9m / 78'5,Posillipo Posillipo,2000 | 2021 (Refitted),25 Knots,6.3m / 20'8,2.2m / 7'3,65 GT,Technema 80 Technema 80,Tommaso Spadolini,,"€26,000 p/week + expenses Approx $30,000","€28,000 p/week + expenses Approx $32,500","Mediterranean, Greece",Mykonos,"€26,000 p/week + expenses Approx $30,000","€26,000 p/week + expenses Approx $30,000","Mediterranean, Greece",Mykonos,"The 24.4m/80'1"" motor yacht 'Va Bene' by shipyard Posillipo offers flexible accommodation for up to 10 guests in 4 cabins.",
VASILIKI,Motor Yachts,8,4,4,"1 Master, 1 Double, 2 Twin",23.75m / 77'11,Sanlorenzo Sanlorenzo,2019 | 2023 (Refitted),16 Knots,6.6m / 21'8,1.65m / 5'5,115 GT,SX76 SX76,Officina Italiana Design,Marty Lowe,"$60,000 p/week + expenses","$65,000 p/week + expenses","Caribbean, Bahamas",,"$60,000 p/week + expenses","$65,000 p/week + expenses","Caribbean, Bahamas",,"The 23.75m/77'11"" 'Vasiliki' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by American designer Marty Lowe.",
VIVA,Motor Yachts,8,4,3,"1 Master, 2 VIP, 1 Twin",23.65m / 77'7,Azimut Azimut,2022,25 Knots,5.75m / 18'10,1.77m / 5'10,58 GT,Fly 78 Fly 78,Alberto Mancini,Achille Salvagni Architetti,"€48,600 p/week + expenses Approx $57,500","€53,000 p/week + expenses Approx $62,500","Mediterranean, Croatia,, Montenegro",,"€45,500 p/week + expenses Approx $53,500","€45,500 p/week + expenses Approx $53,500","Mediterranean, Croatia,, Montenegro",,The 23.78m/78' 'Viva' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Achille Salvagni Architetti.,
