,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
2281,MR. M,Open Yachts,6.0,3.0,2.0,,25.02m / 82'1,Mangusta Mangusta,2005 | 2015 (Refitted),30 Knots,5.9m / 19'4,1.3m / 4'3,55 GT,Mangusta 80 Open HT Mangusta 80 Open HT,Andrea Bacigalupo,,"€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera","€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera","The 25.07m/82'3"" open yacht 'Mr. M' by the Italian shipyard Mangusta offers flexible accommodation for up to 6 guests in 3 cabins.",
2282,MRS GREY,Open Yachts,11.0,5.0,7.0,"1 Master, 2 VIP, 1 Double, 1 Twin",40m / 131'3,Mangusta Mangusta,2005 | 2023 (Refitted),22 Knots,7.76m / 25'6,1.35m / 4'5,265 GT,Mangusta 130 Mangusta 130,Stefano Righini,Luxury Projects,"€115,000 p/week + expenses Approx $131,000","€129,000 p/week + expenses Approx $147,000",,"Ibiza, The Balearics","€115,000 p/week + expenses Approx $131,000","€129,000 p/week + expenses Approx $147,000",,,"The 39.5m/129'7"" open yacht 'Mrs Grey' by the Italian shipyard Mangusta offers flexible accommodation for up to 11 guests in 5 cabins and features interior styling by Luxury Projects.",
2283,MRS L,Motor Yachts,10.0,5.0,6.0,"1 Master, 2 Double, 2 Twin",28.42m / 93'3,Custom Line Custom Line,2021 | 2024 (Refitted),10.5 Knots,7.31m / 24',2.2m / 7'3,170 GT,Navetta 30 Navetta 30,Filippo Salvetti,Antonio Citterio Patricia Viel,"€82,000 p/week + expenses Approx $93,500","€100,000 p/week + expenses Approx $114,000","Mediterranean, Greece",Mykonos,"€75,000 p/week + expenses Approx $85,500","€82,000 p/week + expenses Approx $93,500","Mediterranean, Greece",Mykonos,"The 28.43m/93'3"" 'Mrs L' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Antonio Citterio Patricia Viel.",
2284,MRS SEVEN,Gulet Yachts,8.0,4.0,4.0,,30.2m / 99'1,Southern Wind Southern Wind,2008,10 Knots,6.7m / 22',3.95m / 13',59 GT,SW 100 DS SW 100 DS,Nauta Yachts,Nauta Yachts,"€46,000 p/week + expenses Approx $52,500","€52,000 p/week + expenses Approx $59,500","Mediterranean, Croatia,, Montenegro,, Turkey",,,,,,"The 30.2m/99'1"" 'Mrs Seven' gulet yacht built by shipyard Southern Wind is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by American designer Nauta Yachts.",
2285,MUCHOS MAS,Motor Yachts,10.0,5.0,9.0,"1 Master, 2 Double, 2 Double/Twin, 1 Pullman",43.89m / 144',Crescent Yachts Crescent Yachts,2016,12 Knots,8.7m / 28'7,2.3m / 7'7,491 GT,Custom Custom,Jonathan Quinn Barnett,Jonathan Quinn Barnett,"$210,000 p/week + expenses","$210,000 p/week + expenses","Caribbean, Bahamas",,"$210,000 p/week + expenses","$238,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,The award winning 43.9m/144' motor yacht 'Muchos Mas' by shipyard Crescent  Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by American designer Jonathan Quinn Barnett.,
2286,MUDITA,Motor Yachts,8.0,4.0,2.0,,21.37m / 70'1,Azimut Azimut,2021,26 Knots,5.3m / 17'5,1.69m / 5'7,46 GT,Azimut S7 Azimut S7,,,"€35,350 p/week + expenses Approx $40,500","€37,100 p/week + expenses Approx $42,500","Mediterranean, Croatia,, Montenegro",,,,,,"The 21.37m/70'1"" motor yacht 'Mudita' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins.",
2287,MULAN,Catamarans,6.0,3.0,3.0,,21.4m / 70'3,Sunreef Yachts Sunreef Yachts,2012,-,10.39m / 34'1,1.98m / 6'6,58 GT,Sunreef 70 Sailing Sunreef 70 Sailing,Sunreef Yachts,,"$58,150 p/week + expenses","$58,150 p/week + expenses",,,POA,POA,,,"The 21.4m/70'3"" catamaran yacht 'Mulan' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 6 guests in 3 cabins.",
2288,MUMA,Motor Yachts,9.0,4.0,4.0,,29.1m / 95'6,Sanlorenzo Sanlorenzo,2016,24 Knots,6.75m / 22'2,1.93m / 6'4,155 GT,SL96 SL96,Francesco Paszkowski Design,Francesco Paszkowski Design,"€78,000 p/week + expenses Approx $89,000","€85,000 p/week + expenses Approx $97,000","Mediterranean, France,, Italy,, Monaco","French Riviera, Sardinia","€78,000 p/week + expenses Approx $89,000","€78,000 p/week + expenses Approx $89,000","Mediterranean, France,, Italy,, Monaco","French Riviera, Sardinia","The 29.1m/95'6"" 'Muma' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design.",
2289,MUMU,Sailing Yachts,7.0,4.0,6.0,,38.71m / 127',R.B.Dereli Yachts R.B.Dereli Yachts,2004 | 2010 (Refitted),12 Knots,8.8m / 28'10,4m / 13'1,172 GT,Custom,Philippe Briand,Eva Cadio & Co,,,,,,,,,The 38.71m/127' 'Mumu' sail yacht built by shipyard R.B.Dereli Yachts is available for charter for up to 7 guests in 4 cabins. This  yacht  features interior styling by Eva Cadio & Co.,
2290,MURPHY'S LAW,Motor Yachts,8.0,4.0,5.0,"1 Master, 1 Double, 2 Twin, 2 Pullman",37.8m / 124',Delta Marine Delta Marine,1998 | 2013 (Refitted),11 Knots,7.92m / 26',1.83m / 6',288 GT,Custom,Delta Design Group,A La Mer Interiors,"$70,000 p/week + expenses","$70,000 p/week + expenses","Caribbean, Bahamas",,"$70,000 p/week + expenses","$70,000 p/week + expenses","Caribbean, Bahamas",,The 37.8m/124' motor yacht 'Murphy's Law' by the American shipyard Delta Marine offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by A La Mer Interiors.,
2291,MUS 3,Catamarans,10.0,5.0,3.0,,20.36m / 66'10,Fountaine Pajot Fountaine Pajot,2023,9 Knots,9.84m / 32'3,1.7m / 5'7,,Custom,,,"€38,500 p/week + expenses Approx $44,000","€40,250 p/week + expenses Approx $46,000","Mediterranean, Turkey",,"€31,500 p/week + expenses Approx $36,000","€38,500 p/week + expenses Approx $44,000","Mediterranean, Turkey",,"The 20.36m/66'10"" catamaran yacht 'Mus 3' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Fountaine Pajot  she can comfortably accommodate up to 10 guests in 5 cabins.",
2292,MUSA,Open Yachts,9.0,5.0,5.0,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Single",36.25m / 118'11,AB Yachts AB Yachts,2009 | 2019 (Refitted),36 Knots,7.5m / 24'7,1.6m / 5'3,218 GT,AB 116 AB 116,"Marco Arnaboldi, Guido de Groot Design",Guido de Groot Design,"€75,000 p/week + expenses Approx $88,000","€80,000 p/week + expenses Approx $93,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€75,000 p/week + expenses Approx $88,000","€75,000 p/week + expenses Approx $88,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 36.25m/118'11"" open yacht 'Musa' by the Italian shipyard AB Yachts offers flexible accommodation for up to 9 guests in 5 cabins and features interior styling by Dutch designer Guido de Groot Design.",
2293,MUSE,Catamarans,12.0,6.0,3.0,"3 Double, 1 Single, 2 Convertible, 1 Pullman",21m / 68'11,Sunreef Yachts Sunreef Yachts,2011,12 Knots,10.4m / 34'1,1.8m / 5'11,,Sunreef 70 Sunreef 70,,,,,,,,,,,The 21.34m/70' 'Muse' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 12 guests in 6 cabins.,
2294,MUSE,Open Yachts,6.0,3.0,3.0,"1 Master, 1 Double, 1 Twin",26.36m / 86'6,Warren Yachts Warren Yachts,2007 | 2015 (Refitted),28 Knots,5.49m / 18',1.5m / 4'11,125 GT,S87 S87,,,"$42,000 p/week + expenses","$45,000 p/week + expenses",,New England,"$42,000 p/week + expenses","$45,000 p/week + expenses","Caribbean, Bahamas","Florida, Miami","The 26.36m/86'6"" 'Muse' open yacht built by shipyard Warren Yachts is available for charter for up to 6 guests in 3 cabins.",
2295,MUSHA,Motor Yachts,8.0,4.0,6.0,"1 Master, 1 VIP, 2 Double",31.7m / 104',Sanlorenzo Sanlorenzo,2012 | 2020 (Refitted),25 Knots,7.05m / 23'2,2.15m / 7'1,199 GT,SL104 SL104,Francesco Paszkowski Design,Francesco Paszkowski Design,,,,,,,,,The 31.7m/104' 'Musha' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design.,
2296,MUSICA MUSICA,Motor Yachts,10.0,5.0,5.0,,32.61m / 107',Custom Line Custom Line,2013,12.5 Knots,7m / 23',2.4m / 7'10,184 GT,Navetta 33 Navetta 33,Zuccon,Zuccon,"€94,000 p/week + expenses Approx $110,000","€98,000 p/week + expenses Approx $114,500","Mediterranean, Italy","Amalfi Coast, Sardinia","€94,000 p/week + expenses Approx $110,000","€98,000 p/week + expenses Approx $114,500","Mediterranean, Italy","Amalfi Coast, Sardinia","The 32.68m/107'3"" 'Musica Musica' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
2297,MUSTANG,Sailing Yachts,6.0,3.0,3.0,"1 Master, 1 Double, 1 Twin",25.3m / 83',Camper & Nicholsons Camper & Nicholsons,1987 | 2022 (Refitted),9 Knots,6.25m / 20'6,2.9m / 9'6,55 GT,Custom Custom,Doug Peterson,Camper & Nicholsons,,,,,,,,,The 25.3m/83' sail yacht 'Mustang' by the British shipyard Camper & Nicholsons offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by British designer Camper & Nicholsons.,
2298,MUSTIQUE,Sailing Yachts,6.0,3.0,2.0,"1 Master, 1 VIP, 1 Twin",20.42m / 67',VT Shipbuilding VT Shipbuilding,2005 | 2013 (Refitted),8 Knots,5.33m / 17'6,2.59m / 8'6,,Custom,,,"€15,000 p/week + expenses Approx $17,000","€17,000 p/week + expenses Approx $19,500","Mediterranean, Croatia,, Greece,, Italy,, Montenegro",Mykonos,"$17,500 p/week + expenses","$20,000 p/week + expenses","Caribbean, Antigua,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 20.04m/65'9"" 'Mustique' sail yacht built by shipyard VT Shipbuilding is available for charter for up to 6 guests in 3 cabins.",
2299,MUZUNI,Sailing Yachts,6.0,3.0,5.0,"1 Master, 2 Twin, 1 Pullman",30.3m / 99'5,Nautor Swan Nautor Swan,2005 | 2018 (Refitted),9 Knots,7.1m / 23'4,4.7m / 15'5,80 GT,Swan 100 FD Swan 100 FD,German Frers,Nautor Swan,"€45,000 p/week + expenses Approx $51,500","€50,000 p/week + expenses Approx $57,000",,,"$45,000 p/week + expenses","$50,000 p/week + expenses",,,"The 30.3m/99'5"" sail yacht 'Muzuni' (ex. Fantastica) by the Finnish shipyard Nautor Swan offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Finnish designer Nautor Swan.",
2300,MY DRAGON,Motor Yachts,12.0,7.0,19.0,,79.9m / 262'2,Columbus Yachts Columbus Yachts,2019,12 Knots,13.4m / 44',3.7m / 12'2,"2,210 GT",Custom,HydroTec,Francesco Guida,"€850,000 p/week + expenses Approx $1,001,000","€900,000 p/week + expenses Approx $1,060,000","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€850,000 p/week + expenses Approx $1,001,000","€900,000 p/week + expenses Approx $1,060,000",,,"The 79.9m/262'2"" motor yacht 'My Dragon' by the Italian shipyard Columbus Yachts offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Italian designer Francesco Guida.",
2301,MY EDEN,Motor Yachts,12.0,6.0,11.0,"1 Master, 1 VIP, 2 Double, 1 Double/Twin, 1 Twin, 1 Pullman",45.5m / 149'3,Golden Yachts Golden Yachts,2017 | 2017 (Refitted),11 Knots,8.2m / 26'11,2.3m / 7'7,452 GT,Custom Custom,,Ira Petromanolaki - Yacht Design,"€180,000 p/week + expenses Approx $205,000","€210,000 p/week + expenses Approx $239,500","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey",Mykonos,"€180,000 p/week + expenses Approx $205,000","€180,000 p/week + expenses Approx $205,000","Mediterranean, Greece,, Turkey",Mykonos,The 45.42m/149' motor yacht 'My Eden' by the Greek shipyard Golden Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Ira Petromanolaki - Yacht Design.,
2302,MY GIRL,Motor Yachts,,,,,28.96m / 95',Westport Yachts Westport Yachts,2001,19 Knots,7.2m / 23'7,1.68m / 5'6,172 GT,Westport 112 Westport 112,Gregory C. Marshall,Sheryl Guyan,"$42,000 p/week + expenses","$45,000 p/week + expenses","Caribbean, Bahamas",,"$42,000 p/week + expenses","$45,000 p/week + expenses","Caribbean, Bahamas",,The 28.96m/95' motor yacht 'My Girl' by the American shipyard Westport Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Sheryl Guyan.,
2303,MY LADY,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 1 Double, 1 Twin",26.02m / 85'4,Ferretti Yachts Ferretti Yachts,2005,30 Knots,6.26m / 20'6,1.87m / 6'2,,Ferretti 830 Ferretti 830,Zuccon,Zuccon,,,,,,,,,"The 26.02m/85'4"" motor yacht 'My Lady' by the Italian shipyard Ferretti Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Zuccon.",
2304,MY LIFE,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 1 Double, 1 Twin",27.4m / 89'11,Maiora Maiora,2007 | 2021 (Refitted),20 Knots,6.3m / 20'8,2m / 6'7,146 GT,Maiora 27 Maiora 27,Roberto Del Re,Maiora,"€59,000 p/week + expenses Approx $67,500","€65,000 p/week + expenses Approx $74,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€59,000 p/week + expenses Approx $67,500","€65,000 p/week + expenses Approx $74,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 27.4m/89'11"" motor yacht 'My Life' by the Italian shipyard Maiora offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Maiora.",
2305,MY LIFE FIVE II,Motor Yachts,10.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin, 2 Pullman",27.51m / 90'3,Rizzardi Rizzardi,2022,21 Knots,6.5m / 21'4,2.35m / 7'9,93 GT,Custom,Carlo Galeazzi,Rizzardi,"€75,000 p/week + expenses Approx $88,000","€75,000 p/week + expenses Approx $88,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€75,000 p/week + expenses Approx $88,000","€75,000 p/week + expenses Approx $88,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 27.51m/90'3"" 'My Life Five II' motor yacht built by shipyard Rizzardi is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by Rizzardi.",
2306,MY LITTLE VIOLET,Motor Yachts,10.0,5.0,10.0,"1 Master, 1 VIP, 2 Double, 1 Twin",45.6m / 149'7,Abeking & Rasmussen Abeking & Rasmussen,2006,12 Knots,8.7m / 28'7,2.8m / 9'2,499 GT,Custom Custom,Reymond Langton Design,Reymond Langton Design,"€180,000 p/week + expenses Approx $205,000","€200,000 p/week + expenses Approx $228,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€180,000 p/week + expenses Approx $205,000","€200,000 p/week + expenses Approx $228,000",,"Abu Dhabi, Dubai","The 45.6m/149'7"" motor yacht 'My Little Violet' by the German shipyard Abeking & Rasmussen offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Reymond Langton Design.",
2307,MY LOVER,Gulet Yachts,10.0,5.0,4.0,"1 Master, 1 VIP, 3 Double",27m / 88'7,Custom Custom,2003 | 2023 (Refitted),11 Knots,6.5m / 21'4,3.1m / 10'2,,Custom Custom,,,"€21,000 p/week + expenses Approx $24,500","€33,250 p/week + expenses Approx $39,000","Mediterranean, Turkey",,"$21,000 p/week + expenses","$33,250 p/week + expenses","Mediterranean, Turkey",,"The 27m/88'7"" gulet yacht 'My Lover' by shipyard Custom offers flexible accommodation for up to 10 guests in 5 cabins.",
2308,MY MAY,Motor Yachts,11.0,5.0,6.0,"1 Master, 3 Double, 1 Twin",33m / 108'3,Custom Line Custom Line,2019,11 Knots,7.52m / 24'8,2.18m / 7'2,262 GT,Navetta 33 Navetta 33,Zuccon,Zuccon,"€125,000 p/week + expenses Approx $146,000","€140,000 p/week + expenses Approx $163,500","Mediterranean, Greece,, Italy","Amalfi Coast, Corsica, Mykonos, Sardinia","€125,000 p/week + expenses Approx $146,000","€140,000 p/week + expenses Approx $163,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","The 33m/108'3"" 'My May' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 11 guests in 5 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
2309,MY MAYVA,Motor Yachts,12.0,5.0,9.0,"1 Master, 2 Double, 2 Twin",47.6m / 156'2,Baglietto Baglietto,2018,13 Knots,9.5m / 31'2,3.05m / 10',499 GT,Baglietto T-Line 48 Baglietto T-Line 48,Francesco Paszkowski Design,"Francesco Paszkowski Design, Baglietto","€265,000 p/week + expenses Approx $305,500","€285,000 p/week + expenses Approx $328,500","Mediterranean, France,, Monaco","Corsica, French Riviera, Sardinia","€265,000 p/week + expenses Approx $305,500","€285,000 p/week + expenses Approx $328,500","Mediterranean, France,, Monaco","Corsica, French Riviera, Sardinia","The 47.6m/156'2"" motor yacht 'My Mayva' by the Italian shipyard Baglietto offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Italian designer Francesco Paszkowski Design.",
2310,MY MISTAKE,Motor Yachts,10.0,5.0,6.0,"1 Master, 1 VIP, 1 Double, 2 Twin",32.82m / 107'8,Custom Line Custom Line,2023,21.5 Knots,7.25m / 23'9,1.99m / 6'6,210 GT,Custom Line 106 Custom Line 106,Francesco Paszkowski Design,Francesco Paszkowski Design,"€89,000 p/week + expenses Approx $101,500","€99,000 p/week + expenses Approx $113,000","Mediterranean, Greece",Mykonos,"€89,000 p/week + expenses Approx $101,500","€89,000 p/week + expenses Approx $101,500","Mediterranean, Greece",Mykonos,"The 32.83m/107'9"" motor yacht 'My Mistake' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Custom Line  and featuring interior styling by Italian designer Francesco Paszkowski Design she can comfortably accommodate up to 10 guests in 5 cabins.",
2311,MY OZGN,Motor Yachts,10.0,5.0,4.0,"1 Master, 4 Double",35.4m / 116'2,Riva Riva,2007 | 2025 (Refitted),23 Knots,7.08m / 23'3,2.05m / 6'9,237 GT,115' Athena 115' Athena,Officina Italiana Design,"Officina Italiana Design, Mauro Micheli","€77,000 p/week + expenses Approx $90,000","€77,000 p/week + expenses Approx $90,000","Mediterranean, Turkey",,,,,,"The 35.4m/116'2"" 'My Ozgn' motor yacht built by the Italian shipyard Riva is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Officina Italiana Design.",
2312,MY TOY,Open Yachts,10.0,5.0,8.0,,42.67m / 140',AB Yachts AB Yachts,2009 | 2013 (Refitted),24 Knots,8m / 26'3,1.3m / 4'3,289 GT,AB 140 AB 140,"AB Yachts, Guido de Groot Design",Guido de Groot Design,"€110,000 p/week + expenses Approx $128,500","€115,000 p/week + expenses Approx $134,500","Mediterranean, Croatia,, Greece,, Montenegro",Mykonos,"€110,000 p/week + expenses Approx $128,500","€110,000 p/week + expenses Approx $128,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","The 41.5m/136'2"" open yacht 'My Toy' by the Italian shipyard AB Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Dutch designer Guido de Groot Design.",
